itemID;scaleID;type;polarity;item_de;item_en
GHQ01;GHQ;GHQ;1;Ich habe wegen Sorgen weniger geschlafen.;
GHQ02;GHQ;GHQ;1;Ich habe das Gefühl, dauernd unter Druck zu stehen.;
GHQ03;GHQ;GHQ;1;Ich kann mich auf das, was ich gemacht haben, konzentrieren.;
GHQ04;GHQ;GHQ;1;Ich habe das Gefühl, für etwas nützlich zu sein.;
GHQ05;GHQ;GHQ;1;Ich habe das Gefühl, mich mit meinen Problemen auseinander zu setzen.;
GHQ06;GHQ;GHQ;1;Es fällt mir schwer, Entscheidungen zu treffen.;
GHQ07;GHQ;GHQ;1;Ich habe den Eindruck, dass ich mit meinen Schwierigkeiten nicht zu Rande komme.;
GHQ08;GHQ;GHQ;1;Alles in allem, fühle ich mich einigermaßen zufrieden.;
GHQ09;GHQ;GHQ;1;Ich kann meinen Alltagsverpflichtungen mit Freude nachgehen.;
GHQ10;GHQ;GHQ;1;Ich fühle mich unglücklich und deprimiert.;
GHQ11;GHQ;GHQ;1;Ich spüre einen Mangel an Selbstvertrauen.;
GHQ12;GHQ;GHQ;1;Ich fühle mich wertlos.;
ADS01;ADS;ADS;1;Es haben mich Dinge beunruhigt die mir sonst nichts ausmachen.;I was bothered by things that usually don't bother me.
ADS02;ADS;ADS;1;Ich habe kaum Appetit.;"I did not feel like eating; my appetite was poor."
ADS03;ADS;ADS;1;Ich kann meine trübsinnige Laune nicht loswerden, obwohl meine Freunde oder Familie versuchten, mich aufzumuntern.;I felt that I could not shake off the blues even with help from my family or friends.
ADS04;ADS;ADS;-1;Ich komme mir genauso gut vor wie andere.;I felt that I was just as good as other people.
ADS05;ADS;ADS;1;Ich habe Mühe, mich zu konzentrieren.;I had trouble keeping my mind on what I was doing.
ADS06;ADS;ADS;1;Ich bin deprimiert oder niedergeschlagen.;I felt depressed.
ADS07;ADS;ADS;1;Alles ist anstrengend für mich.;I felt that everything I did was an effort.
ADS08;ADS;ADS;-1;Ich denke voller Hoffnung an die Zukunft.;I felt hopeful about the future.
ADS09;ADS;ADS;1;Ich denke, mein Leben ist ein einziger Fehlschlag.;I thought my life had been a failure.
ADS10;ADS;ADS;1;Ich habe Angst.;I felt fearful.
ADS11;ADS;ADS;1;Ich habe schlecht geschlafen.;My sleep was restless.
ADS12;ADS;ADS;-1;Ich bin fröhlich gestimmt.;I was happy.
ADS13;ADS;ADS;1;Ich habe weniger als sonst geredet.;I talked less than usual.
ADS14;ADS;ADS;1;Ich fühle mich einsam.;I felt lonely.
ADS15;ADS;ADS;1;Die Leute sind unfreundlich zu mir.;People were unfriendly.
ADS16;ADS;ADS;-1;Ich geniesse das Leben.;I enjoyed life.
ADS17;ADS;ADS;1;Ich muss weinen.;I had crying spells.
ADS18;ADS;ADS;1;Ich bin traurig.;I felt sad.
ADS19;ADS;ADS;1;Ich habe das Gefühl, dass mich die Leute nicht leiden können.;I felt that people dislike me.
ADS20;ADS;ADS;1;Ich kann mich zu nichts aufraffen.;"I could not get ""going""."
PID5BF01;PID;emotional lability;1;Ich reagiere viel emotionaler als fast alle anderen Menschen.;I have much stronger emotional reactions than almost everyone else.
PID5BF02;PID;manipulativeness;1;Ich bin gut darin, Leute reinzulegen.;I’m good at conning people.
PID5BF03;PID;irresponsibility;1;Ich gehe oft ziemlich nachlässig mit meinen Sachen und denen anderer um.;I’m often pretty careless with my own and others’ things.
PID5BF04;PID;withdrawal;1;Ich halte Abstand zu Menschen.;I keep my distance from people.
PID5BF05;PID;unusual beliefs;1;Ich sehe zwischen den Dingen oft ungewöhnliche Zusammenhänge, die anderen Menschen entgehen.;I often see unusual connections between things that most people miss.
PID5BF06;PID;perfectionism;1;Auch wenn es andere zum Wahnsinn treibt, bestehe ich darauf, alles perfekt zu machen.;I keep approaching things the same way, even when it isn’t working.
PID5BF07;PID;anxiety;1;Ich mache mir ständig über irgendetwas Sorgen.;I’m always worrying about something.
PID5BF08;PID;deceitfulness;1;Manchmal muss man vor anderen übertreiben, um weiterzukommen.;Sometimes you need to exaggerate to get ahead.
PID5BF09;PID;impulsivity;1;Es kommt mir vor, als würde ich völlig impulsiv handeln.;I feel like I act totally on impulse.
PID5BF10;PID;anhedonia;1;Nichts scheint mich wirklich zu interessieren.;Nothing seems to interest me very much.
PID5BF11;PID;eccentrictiy;1;Man hat mir gesagt, dass meine Art zu denken wirklich seltsam ist.;People have told me that I think about things in a really strange way.
PID5BF12;PID;rigidity;1;Es ist mir wichtig, dass Dinge auf eine ganz bestimmte Weise erledigt werden.;Even though it drives other people crazy, I insist on absolute perfection in everything I do.
PID5BF13;PID;separation insecurity;1;Ich mache mir viele Sorgen darüber, allein zu sein.;I worry a lot about being alone.
PID5BF14;PID;grandiosity;1;Es steht mir zu, besonders behandelt zu werden.;I deserve special treatment.
PID5BF15;PID;distractibility;1;Ich verliere in Gesprächen den Faden, weil mich andere Dinge ablenken.;I lose track of conversations because other things catch my attention.
PID5BF16;PID;intimicy avoidance;1;Ich halte romantische Gefühle lieber aus meinem Leben heraus.;I prefer to keep romance out of my life.
PID5BF17;PID;perceptual dysreg;1;Es ist komisch, aber manchmal kommt es mir vor, dass alltägliche Gegenstände eine andere Form haben als sonst.;It’s weird, but sometimes ordinary objects seem to be a different shape than usual.
PID5BF18;PID;perfectionism;1;Ich versuche Dinge weiter zu perfektionieren, auch wenn ich sie wahrscheinlich schon so gut wie möglich hinbekommen habe.;I get stuck on one way of doing things, even when it’s clear it won’t work.
PID5BF19;PID;emotional lability;1;Ich werde schnell emotional, oft aus geringstem Anlass.;I get emotional easily, often for very little reason.
PID5BF20;PID;manipulativeness;1;Es fällt mir leicht, andere auszunutzen.;It is easy for me to take advantage of others.
PID5BF21;PID;irresponsibility;1;Ich vergesse oft, meine Rechnungen zu bezahlen.;I often forget to pay my bills.
PID5BF22;PID;withdrawal;1;Ich mag es nicht, Zeit mit anderen zu verbringen.;I don’t like spending time with others.
PID5BF23;PID;unusual beliefs;1;Ich hatte einige wirklich seltsame Erlebnisse, die sehr schwer zu erklären sind.;I’ve had some really weird experiences that are very difficult to explain.
PID5BF24;PID;rigidity;1;Ich habe für viele alltägliche Verhaltensweisen strikte Regeln.;I keep trying to make things perfect, even when I've gotten them as good as they're likely to get.
PID5BF25;PID;anxiety;1;Ich mache mir über fast alles Sorgen.;I worry about almost everything.
PID5BF26;PID;deceitfulness;1;Ich biege mir die Wahrheit zurecht, wenn es zu meinem Vorteil ist.;I’ll stretch the truth if it’s to my advantage.
PID5BF27;PID;impulsivity;1;Obwohl ich es eigentlich besser weiß, treffe ich immer wieder überstürzte Entscheidungen.;Even though I know better, I can’t stop making rash decisions.
PID5BF28;PID;anhedonia;1;Ich bin selten von irgendetwas begeistert.;I rarely get enthusiastic about anything.
PID5BF29;PID;eccentricity;1;Ich habe mehrere Angewohnheiten, die andere exzentrisch oder seltsam finden.;I have several habits that others find eccentric or strange.
PID5BF30;PID;orderliness;1;Mir wurde schon mal gesagt, dass ich zu viel Zeit damit verbringe, darauf zu achten, dass alles genau an seinem Platz ist.;I've been told that I spend too much time making sure things are exactly in place.
PID5BF31;PID;separation insecurity;1;Ich ertrage es nicht, allein gelassen zu werden – nicht mal für ein paar Stunden.;I can’t stand being left alone, even for a few hours.
PID5BF32;PID;grandiosity;1;Ich muss mich oft mit Leuten beschäftigen, die weniger wichtig sind als ich;I often have to deal with people who are less important than me.
PID5BF33;PID;distractibility;1;Ich lasse mich leicht ablenken.;I am easily distracted.
PID5BF34;PID;intimicy avoidance;1;Ich beende Beziehungen, wenn sie enger werden. ;I break off relationships if they start to get close.
PID5BF35;PID;perceptual dysreg;1;Wenn ich einen vertrauten Gegenstand anschaue, ist es manchmal so, als würde ich ihn zum ersten Mal sehen.;Sometimes when I look at a familiar object, it’s somehow like I’m seeing it for the first time.
PID5BF36;PID;orderliness;1;Andere beschweren sich darüber, dass bei mir alles genau durchgeplant sein muss. ;People complain about my need to have everything all arranged. 
LPFSBF01;LPF;self;1;Ich weiß oft nicht wer ich wirklich bin.;
LPFSBF02;LPF;self;1;Ich denke oft sehr schlecht über mich selbst.;
LPFSBF03;LPF;self;1;Meine Gefühle ändern sich, ohne dass ich sie im Griff habe.;
LPFSBF04;LPF;self;1;Ich habe keine Ahnung, wo ich im Leben hin will.;
LPFSBF05;LPF;self;1;Ich verstehe oft meine eigenen Gedanken und Gefühle nicht.;
LPFSBF06;LPF;self;1;Ich stelle oft unrealistische Anforderungen an mich selbst.;
LPFSBF07;LPF;interpersonal;1;Ich habe oft Schwierigkeiten, die Gedanken und Gefühle anderer zu verstehen.;
LPFSBF08;LPF;interpersonal;1;Ich kann es oft schwer aushalten, wenn andere eine andere Meinung haben.;
LPFSBF09;LPF;interpersonal;1;Ich verstehe oft nicht ganz warum mein Verhalten einen bestimmten Einfluss auf andere hat.;
LPFSBF10;LPF;interpersonal;1;Meine Beziehungen und Freundschaften halten nie lange.;
LPFSBF11;LPF;interpersonal;1;Ich fühle mich oft sehr verletzlich, wenn Beziehungen persönlicher werden.;
LPFSBF12;LPF;interpersonal;1;Es gelingt mir häufig nicht, mit anderen auf eine Weise zusammen zu arbeiten, die für beide Seiten zufriedenstellend ist.;
NEOFFI01;NEO;Neuroticism;-1;Ich bin nicht leicht beunruhigt.;I am not a worrier.
NEOFFI02;NEO;Extraversion;1;Ich habe gerne viele Leute um mich herum.;I like to have a lot of people around me.
NEOFFI03;NEO;Openness;-1;Ich mag meine Zeit nicht mit Tagträumereien verschwenden.;I don't like to waste my time daydreaming.
NEOFFI04;NEO;Agreeableness;1;Ich versuche zu jedem, dem ich begegne, freundlich zu sein.;I try to be courteous to everyone I meet.
NEOFFI05;NEO;Conscientiousness;1;Ich halte meine Sachen ordentlich und sauber. ;I keep my belongings clean and neat.
NEOFFI06;NEO;Neuroticism;1;Ich fühle mich anderen oft unterlegen. ;I often feel inferior to others.
NEOFFI07;NEO;Extraversion;1;Ich bin leicht zum Lachen zu bringen. ;I laugh easily.
NEOFFI08;NEO;Openness;-1;Ich finde philosophische Diskussionen langweilig. ;Once I find the right way to do something, I stick to it.
NEOFFI09;NEO;Agreeableness;-1;Ich bekomme häufiger Streit mit meiner Familie und meinen Kollegen. ;I often get into arguments with my family and co-workers.
NEOFFI10;NEO;Conscientiousness;1;Ich kann mir meine Zeit recht gut einteilen, so dass ich meine Angelegenheiten rechtzeitig beende.;I'm pretty good about pacing myself so as to get things done on time.
NEOFFI11;NEO;Neuroticism;1; Wenn ich unter starkem Stress stehe, fühle ich mich manchmal, als ob ich zerbräche.;When I am under a great deal of stress, sometimes I feel like I'm going to pieces.
NEOFFI12;NEO;Extraversion;-1;Ich halte mich nicht für besonders fröhlich.;"I don't consider myself especially ""light-hearted""."
NEOFFI13;NEO;Openness;1;Mich begeistern die Motive, die ich in der Kunst und in der Natur finde.;I am intrigued by the patterns I find in art and nature.
NEOFFI14;NEO;Agreeableness;-1;Manche Leute halten mich für selbstsüchtig und selbstgefällig.;Some people think I'm selfish and egotistical.
NEOFFI15;NEO;Conscientiousness;-1;Ich bin kein sehr systematisch vorgehender Mensch.;I am not a very methodical person.
NEOFFI16;NEO;Neuroticism;-1;Ich fühle mich selten einsam oder traurig.;I rarely feel lonely or blue.
NEOFFI17;NEO;Extraversion;1;Ich unterhalte mich wirklich gerne mit anderen Menschen.;I really enjoy talking to people.
NEOFFI18;NEO;Openness;-1;Ich glaube, dass es Schüler oft nur verwirrt und irreführt, wenn man sie Rednern zuhören lässt, die kontroverse Standpunkte vertreten.;I believe letting students hear controversial speakers can only confuse and mislead them.
NEOFFI19;NEO;Agreeableness;1;Ich würde lieber mit anderen zusammenarbeiten, als mit ihnen zu wetteifern.;I would rather cooperate with others than compete with them.
NEOFFI20;NEO;Conscientiousness;1;Ich versuche, alle mir übertragenen Aufgaben sehr gewissenhaft zu erledigen.;I try to perform all the tasks assigned to me conscientiously.
NEOFFI21;NEO;Neuroticism;1;Ich fühle mich oft angespannt und nervös.;I often feel tense and jittery.
NEOFFI22;NEO;Extraversion;1;Ich bin gerne im Zentrum des Geschehens.;I like to be where the action is.
NEOFFI23;NEO;Openness;-1;Poesie beeindruckt mich wenig oder gar nicht.;Poetry has little or no effect on me.
NEOFFI24;NEO;Agreeableness;-1;Im Hinblick auf die Absichten anderer bin ich eher zynisch und skeptisch.;I tend to be cynical and skeptical of others' intentions.
NEOFFI25;NEO;Conscientiousness;-1;Ich habe eine Reihe von klaren Zielen und arbeite systematisch auf sie zu.;I have a clear set of goals and work toward them in an orderly fashion.
NEOFFI26;NEO;Neuroticism;-1;Manchmal fühle ich mich völlig wertlos.;Sometimes I feel completely worthless.
NEOFFI27;NEO;Extraversion;-1;Ich ziehe es gewöhnlich vor, Dinge allein zu tun.;I usually prefer to do things alone.
NEOFFI28;NEO;Openness;1;Ich probiere oft neue und fremde Speisen aus.;I often try new and foreign foods.
NEOFFI29;NEO;Agreeableness;-1;Ich glaube, dass man von den meisten Leuten ausgenutzt wird, wenn man es zulässt.;I believe that most people will take advantage of you if you let them.
NEOFFI30;NEO;Conscientiousness;-1;Ich vertrödele eine Menge Zeit, bevor ich mit einer Arbeit beginne.;I waste a lot of time before settling down to work.
NEOFFI31;NEO;Neuroticism;-1;Ich empfinde selten Furcht oder Angst.;I rarely feel fear or anxious.
NEOFFI32;NEO;Extraversion;1;Ich habe oft das Gefühl, vor Energie überzuschäumen.;I often feel as if I'm bursting with energy.
NEOFFI33;NEO;Openness;-1;Ich nehme nur selten Notiz von den Stimmungen oder Gefühlen, die verschiedene Umgebungen hervorrufen.;I seldom notice the moods or feelings that different environments produce.
NEOFFI34;NEO;Agreeableness;1;Die meisten Menschen, die ich kenne, mögen mich.;Most people I know like me.
NEOFFI35;NEO;Conscientiousness;1;Ich arbeite hart, um meine Ziele zu erreichen.;I work hard to accomplish my goals.
NEOFFI36;NEO;Neuroticism;-1;Ich ärgere mich oft darüber, wie andere Leute mich behandeln.;I often get angry at the way people treat me.
NEOFFI37;NEO;Extraversion;1;Ich bin ein fröhlicher, gut gelaunter Mensch.;I am a cheerful, high-spirited person.
NEOFFI38;NEO;Openness;-1;Ich glaube, dass wir bei ethischen Entscheidungen auf die Ansichten unserer religiösen Autoritäten achten sollten.;I believe we should look to our religious authorities for decisions on moral issues.
NEOFFI39;NEO;Agreeableness;-1;Manche Leute halten mich für kalt und berechnend.;Some people consider me cold and calculating.
NEOFFI40;NEO;Conscientiousness;1;Wenn ich eine Verpflichtung eingehe, so kann man sich auf mich vestimmt verlassen.;When I make a commitment, I can always be counted on to follow through.
NEOFFI41;NEO;Neuroticism;-1;Zu häufig bin ich entmutigt und will aufgeben, wenn etwas schief geht.;Too often, when things go wrong, I get discouraged and feel like giving up.
NEOFFI42;NEO;Extraversion;-1;Ich bin kein gut gelaunter Optimist.;I am not a cheerful optimist.
NEOFFI43;NEO;Openness;1;Wenn ich Literatur lese oder ein Kunstwerk betrachte, empfinde ich manchmal ein Frösteln oder eine Welle der Begeisterung.;Sometimes when I am reading poetry or looking at a work of art, I fell a chill or wave of excitement.
NEOFFI44;NEO;Agreeableness;-1;In Bezug auf meine Einstellungen bin ich nüchtern und unnachgiebig.;I'm hard-headed and tough-minded in my attitudes.
NEOFFI45;NEO;Conscientiousness;-1;Manchmal bin ich nicht so verlässlich oder zuverlässig, wie ich sein sollte.;Sometimes I'm not as dependable or reliable as I should be.
NEOFFI46;NEO;Neuroticism;-1;Ich bin selten traurig oder deprimiert.;I am seldom sad or depressed.
NEOFFI47;NEO;Extraversion;-1;Ich führe ein hektisches Leben.;My life is fast-paced.
NEOFFI48;NEO;Openness;-1;Ich habe wenig Interesse, über die Natur des Universums oder die Lage der Menschheit zu spekulieren.;I have little interest in speculating on the nature of the universe or the human condition.
NEOFFI49;NEO;Agreeableness;1;Ich versuche, stets rücksichtsvoll und sensibel zu handeln.;I generally try to be thoughtful and considerate.
NEOFFI50;NEO;Conscientiousness;1;Ich bin eine tüchtige Person, die ihre Arbeit immer erledigt. ;I am a productive person who always gets the job done.
NEOFFI51;NEO;Neuroticism;-1;Ich fühle mich oft hilflos und wünsche mir eine Person, die meine Probleme löst.;I often feel helpless and want someone else to solve my problems.
NEOFFI52;NEO;Extraversion;1;Ich bin ein sehr aktiver Mensch.;I am a very active person.
NEOFFI53;NEO;Openness;1;Ich bin sehr wissbegierig.;I have a lot of intellectual curiosity.
NEOFFI54;NEO;Agreeableness;-1;Wenn ich Menschen nicht mag, so zeige ich ihnen das auch offen.;If I don't like people, I let them know it.
NEOFFI55;NEO;Conscientiousness;-1;Ich werde wohl niemals fähig sein, Ordnung in mein Leben zu bringen.;I never seem to be able to get organized.
NEOFFI56;NEO;Neuroticism;-1;Manchmal war mir etwas so peinlich, dass ich mich am liebsten versteckt hätte.;At times I have been so ashamed I just wanted to hide.
NEOFFI57;NEO;Extraversion;-1;Lieber würde ich meine eigenen Wege gehen, als eine Gruppe anzuführen.;I would rather go my own way than be a leader of others.
NEOFFI58;NEO;Openness;1;Ich habe oft Spaß daran, mit Theorien oder abstrakten Ideen zu spielen.;I often enjoy playing with theories or abstract ideas.
NEOFFI59;NEO;Agreeableness;-1;Um zu bekommen, was ich will, bin ich notfalls bereit, Menschen zu manipulieren. ;If necessary, I am willing to manipulate people to get what I want.
NEOFFI60;NEO;Conscientiousness;1;Bei allem, was ich tue, strebe ich nach Perfektion.;I strive for excellence in everything I do.
NEOFFI61;NEO;Agreeableness;-1;Oft sind die Menschen nicht so nett, wie sie zu sein scheinen. ;Often, people aren’t as nice as they seem to be.
NEOFFI62;NEO;Agreeableness;-1;Ich mache mir keine großen Gedanken über Obdachlose. ;I don’t worry much about the homeless.
NEOFFI63;NEO;Conscientiousness;1;Ich bin kein sehr ordentlicher oder strukturierter Mensch.;I’m not a very orderly or methodical person.
NEOFFI64;NEO;Neuroticism;1;Ich habe oft das Gefühl, dass ich nicht so gut bin wie andere.;I often feel that I am not as good as others.
NEOFFI65;NEO;Extraversion;-1;Ich bin nicht fröhlich und unbekümmert.;I’m not happy-go-lucky.
NEOFFI66;NEO;Agreeableness;-1;Ich gerate manchmal in Streit.;I sometimes get into arguments.
PDS01;PDS;Identität;1;Ich weiß oft nicht, wer ich bin, besonders in Gesellschaft anderer Menschen.;
PDS01;PDS;Identität;1;Ich bin manchmal verwirrt darüber, wer ich bin, besonders in Gesellschaft anderer Menschen.;
PDS01;PDS;Identität;-1;Ich habe ein stabiles Bild von mir selbst.;
PDS01;PDS;Identität;1;Mein Selbstbild ist insgesamt zu starr und einseitig (z.B. in Bezug auf die Arbeit oder eine andere Person).;
PDS01;PDS;Identität;1;Mein Selbstbild ist viel zu einseitig und lässt sich nicht verändern, egal was passiert.;
PDS02;PDS;Selbstwert;2;Die meiste Zeit fühle ich mich wertlos, was sich auf meine Beziehungen zu anderen Menschen auswirkt.;
PDS02;PDS;Selbstwert;1;Es fällt mir oft schwer, mich selbst zu mögen, was sich manchmal auf meine Beziehungen zu anderen Menschen auswirkt.;
PDS02;PDS;Selbstwert;0;Ich bin normalerweise zufrieden damit, wie ich bin.;
PDS02;PDS;Selbstwert;1;Ich habe oft das Gefühl, besser zu sein als andere, was sich auf meine Beziehungen zu anderen Menschen auswirkt.;
PDS02;PDS;Selbstwert;2;Ich fühle mich anderen überlegen, was sich auf meine Beziehungen zu anderen Menschen auswirkt.;
PDS03;PDS;Selbstwahrnehmung;2;Ich habe keine Stärken.;
PDS03;PDS;Selbstwahrnehmung;1;Ich habe wenige Stärken.;
PDS03;PDS;Selbstwahrnehmung;0;Ich kann meine Stärken und Schwächen gut einschätzen.;
PDS03;PDS;Selbstwahrnehmung;1;Ich habe nur wenige Schwächen oder Unzulänglichkeiten.;
PDS03;PDS;Selbstwahrnehmung;2;Ich habe keine Schwächen oder Unzulänglichkeiten.;
PDS04;PDS;Ziele;2;Ich bin kaum in der Lage, mir Ziele zu setzen und sie zu verfolgen.;
PDS04;PDS;Ziele;1;Es fällt mir manchmal schwer, mir Ziele zu setzen und sie zu verfolgen.;
PDS04;PDS;Ziele;0;Ich habe kein Problem damit, mir realistische Ziele zu setzen und sie zu verfolgen.;
PDS04;PDS;Ziele;1;Es fällt mir manchmal schwer, meine Ziele zu ändern, selbst wenn sie zu schwer zu erreichen sind.;
PDS04;PDS;Ziele;2;Es fällt mir regelmäßig schwer, meine Ziele zu ändern, selbst wenn sie fast unmöglich zu erreichen sind.;
PDS05;PDS;Interesse an Beziehungen;2;Ich habe kein Interesse daran, mit anderen Menschen Zeit zu verbringen, und tue alles, um andere zu meiden.;
PDS05;PDS;Interesse an Beziehungen;1;Ich habe wenig Interesse daran, mit anderen Menschen Zeit zu verbringen und meide sie deshalb.;
PDS05;PDS;Interesse an Beziehungen;0;Ich habe ein gutes Gleichgewicht zwischen dem Alleinsein und dem Zusammensein mit anderen.;
PDS05;PDS;Interesse an Beziehungen;1;Ich fühle mich manchmal schlecht, wenn ich nicht mit anderen zusammen bin.;
PDS05;PDS;Interesse an Beziehungen;2;Ich fühle mich oft schlecht, wenn ich nicht mit anderen zusammen bin.;
PDS06;PDS;Perspektivübernahme;2;Ich denke nie über die Gedanken und Gefühle anderer Menschen nach.;
PDS06;PDS;Perspektivübernahme;1;Ich denke oft nicht über die Gedanken und Gefühle anderer Menschen nach.;
PDS06;PDS;Perspektivübernahme;0;Ich kann mich gut in die Gedanken und Gefühle anderer Menschen hineinversetzen.;
PDS06;PDS;Perspektivübernahme;1;Ich denke oft zu viel darüber nach, wie andere denken und fühlen.;
PDS06;PDS;Perspektivübernahme;2;Ich denke immer zu viel darüber nach, wie andere denken und fühlen.;
PDS07;PDS;Gegenseitigkeit in Beziehungen;2;Andere Menschen beschweren sich immer darüber, dass ich in Beziehungen zu egoistisch bin.;
PDS07;PDS;Gegenseitigkeit in Beziehungen;1;Andere Menschen haben sich manchmal darüber beschwert, dass ich in Beziehungen zu egoistisch bin.;
PDS07;PDS;Gegenseitigkeit in Beziehungen;0;Ich kann enge und für beide Seiten befriedigende Beziehungen aufbauen und aufrechterhalten.;
PDS07;PDS;Gegenseitigkeit in Beziehungen;1;Ich bin manchmal nicht in der Lage, Beziehungen zu beenden, selbst wenn sie schädlich für mich sind.;
PDS07;PDS;Gegenseitigkeit in Beziehungen;2;Ich bin kaum in der Lage, Beziehungen zu beenden, selbst wenn sie schädlich für mich sind.;
PDS08;PDS;Umgang mit Meinungsverschiedenheiten;2;Ich gerate oft mit anderen Menschen in Meinungsverschiedenheiten, die zu ernsthaften Beziehungsproblemen führen.;
PDS08;PDS;Umgang mit Meinungsverschiedenheiten;1;Ich gerate manchmal mit anderen Menschen in Meinungsverschiedenheiten, die zu Beziehungsproblemen führen.;
PDS08;PDS;Umgang mit Meinungsverschiedenheiten;0;Ich kann mit Meinungsverschiedenheiten in Beziehungen auf kooperative Weise umgehen.;
PDS08;PDS;Umgang mit Meinungsverschiedenheiten;1;Ich vermeide oft Meinungsverschiedenheiten, indem ich anderen nachgebe, auch wenn es für mich von Nachteil ist.;
PDS08;PDS;Umgang mit Meinungsverschiedenheiten;2;Ich vermeide Meinungsverschiedenheiten und Konflikte mit anderen um jeden Preis.;
PDS09;PDS;Gefühlskontrolle und -ausdruck;2;Ich kann meine Gefühle oft nicht kontrollieren, was zu ernsthaften Problemen mit anderen führt.;
PDS09;PDS;Gefühlskontrolle und -ausdruck;1;Ich habe manchmal Schwierigkeiten, meine Gefühle zu kontrollieren, was zu gewissen Problemen mit anderen führt.;
PDS09;PDS;Gefühlskontrolle und -ausdruck;0;Ich bin im Allgemeinen in der Lage, meine Gefühle zu kontrollieren und auf angemessene Weise auszudrücken.;
PDS09;PDS;Gefühlskontrolle und -ausdruck;1;Andere Menschen beschweren sich manchmal darüber, dass ich keine Gefühle zeige.;
PDS09;PDS;Gefühlskontrolle und -ausdruck;2;Andere Menschen beschweren sich oft darüber, dass ich überhaupt keine Gefühle zeige.;
PDS10;PDS;Verhaltenskontrolle;2;Ich handle oft so unüberlegt oder impulsiv, dass es zu ernsthaften Problemen führt.;
PDS10;PDS;Verhaltenskontrolle;1;Ich handle manchmal aus einem Impuls heraus, ohne die Konsequenzen zu bedenken, was zu Problemen führt.;
PDS10;PDS;Verhaltenskontrolle;0;Ich bin im Allgemeinen in der Lage, spontan zu sein und gleichzeitig mein Verhalten auf angemessene Weise zu kontrollieren.;
PDS10;PDS;Verhaltenskontrolle;1;Ich bin manchmal so kontrolliert in meinem Verhalten, dass ich nicht so viel vom Leben habe wie andere.;
PDS10;PDS;Verhaltenskontrolle;2;Ich bin oft so überkontrolliert in meinem Verhalten, dass ich kaum etwas vom Leben habe.;
PDS11;PDS;Realitätserleben bei Stress;-1;Mein Erleben von Situationen ist in der Regel richtig, selbst wenn ich mich gestresst fühle.;
PDS11;PDS;Realitätserleben bei Stress;0;"Mein Erleben von Situationen ist etwas verzerrt, wenn ich mich gestresst fühle (z.B. das Schlimmste erwarten; sich abgelehnt fühlen, wenn andere einen kritisieren).";
PDS11;PDS;Realitätserleben bei Stress;1;"Ich verliere manchmal den Bezug zur Realität, wenn ich mich gestresst fühle (z. B. misstrauisch sein; sich von der Realität abgekoppelt fühlen; Dinge um sich herum wie im Traum erleben).";
PDS11;PDS;Realitätserleben bei Stress;2;"Ich verliere oft den Bezug zur Realität, wenn ich mich gestresst fühle (z.B. extremes Misstrauen; Dinge sehen oder hören, die andere Menschen nicht wahrnehmen können; außerkörperliche Erfahrungen machen).";
PDS12;PDS;Selbstverletzendes Verhalten;-1;Ich verletze mich nie selbst.;
PDS12;PDS;Selbstverletzendes Verhalten;0;Ich verletze mich in seltenen Fällen selbst.;
PDS12;PDS;Selbstverletzendes Verhalten;1;Ich verletze mich zeitweise selbst.;
PDS12;PDS;Selbstverletzendes Verhalten;2;Ich verletze mich oft selbst.;
PDS13;PDS;Schädigendes Verhalten gegenüber anderen (absichtlich oder unabsichtlich);-1;Ich füge anderen nie Schaden zu.;
PDS13;PDS;Schädigendes Verhalten gegenüber anderen (absichtlich oder unabsichtlich);0;Ich füge anderen in seltenen Fällen Schaden zu.;
PDS13;PDS;Schädigendes Verhalten gegenüber anderen (absichtlich oder unabsichtlich);1;Ich füge anderen zeitweise Schaden zu.;
PDS13;PDS;Schädigendes Verhalten gegenüber anderen (absichtlich oder unabsichtlich);2;Ich füge anderen oft Schaden zu.;
